"topic_id";"topic_name_hun";"topic_name_eng"
"1";"Egyszer"u mozgások";"Simple motions"
"2";"Összetett mozgások";"Complex motions"
"3";"Periodikus mozgások";"Periodic motions"
"4";"Newton törvények";"Newtonian laws"
"5";"Er"ok";"Forces"
"6";"Munka/Mechanikai Energia";"Work/Mechanical Energies"
"7";"Lendület/Ütközések";"Momentum/Collisions"
"8";"Kiterjedt testek/Forgómozgás";"Extended bodies/Rotary motion"
"9";"Hullámok";"Waves"
"10";"Deformálható közegek mechanikája";"Mechanics of fluids"
"11";"H"omérséklet változása";"Temperature change"
"12";"H"ocsere";"Heat transfer"
"13";"Gázok kinetikus modellje";"Kinetic model  of gases"
"14";"Termodinamika f"otételei";"Laws of Themodinamics"
"15";"Elektrosztatika";"Static electric fields"
"16";"Elektromos áram";"Electric current"
"17";"Elektromágneses jelenségek";"Electromagnetism"
"18";"Halmazállapot-változások";"Change of state"
"19";"Fizikai optika/Elektromágneses hullámok";"Electromagnetic waves"
"20";"Geometriai optika";"Optics"
"21";"A fény kett"os természete";"Dual nature of light"
"22";"Az atom szerkezete";"Atomic structure"
"23";"Atommag fizika";"Nuclear physics"
"24";"Csillagászat";"Astronomy"
